2025-11-11 10:10:43 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:10:43 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:10:43 | INFO | ================================
2025-11-11 10:11:13 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:11:13 | INFO | 🕒 เวลาทำงาน: 0:10:00.208276
2025-11-11 10:11:13 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:11:13 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:11:13 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:11:13 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:11:13 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:11:13 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:11:13 | INFO | ================================
2025-11-11 10:11:43 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:11:43 | INFO | 🕒 เวลาทำงาน: 0:10:30.214609
2025-11-11 10:11:43 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:11:43 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:11:43 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:11:43 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:11:43 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:11:43 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:11:43 | INFO | ================================
2025-11-11 10:12:13 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:12:13 | INFO | 🕒 เวลาทำงาน: 0:11:00.252598
2025-11-11 10:12:13 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:12:13 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:12:13 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:12:13 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:12:13 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:12:13 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:12:13 | INFO | ================================
2025-11-11 10:16:55 | INFO | 🚀 MQTT Broker เริ่มทำงานแล้ว!
2025-11-11 10:16:55 | INFO | 📍 รอรับการเชื่อมต่อที่ localhost:1883
2025-11-11 10:17:25 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:17:25 | INFO | 🕒 เวลาทำงาน: 0:00:30.001610
2025-11-11 10:17:25 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:17:25 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:17:25 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:17:25 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:17:25 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:17:25 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:17:25 | INFO | ================================
2025-11-11 10:17:55 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:17:55 | INFO | 🕒 เวลาทำงาน: 0:01:00.003604
2025-11-11 10:17:55 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:17:55 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:17:55 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:17:55 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:17:55 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:17:55 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:17:55 | INFO | ================================
2025-11-11 10:18:25 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:18:25 | INFO | 🕒 เวลาทำงาน: 0:01:30.033690
2025-11-11 10:18:25 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:18:25 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:18:25 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:18:25 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:18:25 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:18:25 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:18:25 | INFO | ================================
2025-11-11 10:18:55 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:18:55 | INFO | 🕒 เวลาทำงาน: 0:02:00.035676
2025-11-11 10:18:55 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:18:55 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:18:55 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:18:55 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:18:55 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:18:55 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:18:55 | INFO | ================================
2025-11-11 10:19:25 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:19:25 | INFO | 🕒 เวลาทำงาน: 0:02:30.037647
2025-11-11 10:19:25 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:19:25 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:19:25 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:19:25 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:19:25 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:19:25 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:19:25 | INFO | ================================
2025-11-11 10:19:55 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:19:55 | INFO | 🕒 เวลาทำงาน: 0:03:00.039644
2025-11-11 10:19:55 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:19:55 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:19:55 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:19:55 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:19:55 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:19:55 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:19:55 | INFO | ================================
2025-11-11 10:19:59 | INFO | ✅ Client ใหม่เชื่อมต่อ: client_1_1762831199 จาก ('127.0.0.1', 36091)
2025-11-11 10:19:59 | INFO | 📥 client_1_1762831199 subscribe topic: 'sensor/temperature'
2025-11-11 10:19:59 | INFO | 📥 client_1_1762831199 subscribe topic: 'sensor/humidity'
2025-11-11 10:19:59 | INFO | 📥 client_1_1762831199 subscribe topic: 'home/+/status'
2025-11-11 10:19:59 | INFO | 📥 client_1_1762831199 subscribe topic: 'device/+/data'
2025-11-11 10:19:59 | INFO | 📥 client_1_1762831199 subscribe topic: 'test/message'
2025-11-11 10:20:25 | INFO | 🔌 client_1_1762831199 ตัดการเชื่อมต่อแล้ว
2025-11-11 10:20:25 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:20:25 | INFO | 🕒 เวลาทำงาน: 0:03:30.042467
2025-11-11 10:20:25 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 1
2025-11-11 10:20:25 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:20:25 | INFO | 📨 ข้อความทั้งหมด: 5
2025-11-11 10:20:25 | INFO | 📥 subscription ทั้งหมด: 5
2025-11-11 10:20:25 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:20:25 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:20:25 | INFO | ================================
2025-11-11 10:20:26 | INFO | ✅ Client ใหม่เชื่อมต่อ: client_1_1762831226 จาก ('127.0.0.1', 36099)
2025-11-11 10:20:42 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/temperature': 26.5
2025-11-11 10:20:42 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/humidity': 68.5
2025-11-11 10:20:42 | INFO | 📤 client_1_1762831226 publish ไปยัง 'home/living_room/status': on
2025-11-11 10:20:42 | INFO | 📤 client_1_1762831226 publish ไปยัง 'test/message': Hello from Python Publisher!
2025-11-11 10:20:44 | INFO | 📤 client_1_1762831226 publish ไปยัง 'device/light/data': brightness:50
2025-11-11 10:20:44 | INFO | 📤 client_1_1762831226 publish ไปยัง 'test/message': สวัสดีจาก MQTT Publisher
2025-11-11 10:20:45 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/temperature': 33.9
2025-11-11 10:20:46 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/humidity': 51.9
2025-11-11 10:20:46 | INFO | 📤 client_1_1762831226 publish ไปยัง 'home/bedroom/status': on
2025-11-11 10:20:46 | INFO | 📤 client_1_1762831226 publish ไปยัง 'test/message': Test message with timestamp: 10:20:46
2025-11-11 10:20:48 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/temperature': 34.8
2025-11-11 10:20:48 | INFO | 📤 client_1_1762831226 publish ไปยัง 'home/living_room/status': on
2025-11-11 10:20:48 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/test': 12.34
2025-11-11 10:20:50 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/humidity': 45.4
2025-11-11 10:20:50 | INFO | 📤 client_1_1762831226 publish ไปยัง 'device/fan/data': speed:2
2025-11-11 10:20:50 | INFO | 📤 client_1_1762831226 publish ไปยัง 'device/test/command': start
2025-11-11 10:20:51 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/temperature': 24.5
2025-11-11 10:20:52 | ERROR | ❌ ข้อมูลจาก client_1_1762831226 ไม่ใช่ JSON ที่ถูกต้อง: Extra data: line 2 column 1 (char 159)
2025-11-11 10:20:54 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/humidity': 47.9
2025-11-11 10:20:54 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/temperature': 22.3
2025-11-11 10:20:54 | INFO | 📤 client_1_1762831226 publish ไปยัง 'home/living_room/status': off
2025-11-11 10:20:55 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:20:55 | INFO | 🕒 เวลาทำงาน: 0:04:00.057987
2025-11-11 10:20:55 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 2
2025-11-11 10:20:55 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 1
2025-11-11 10:20:55 | INFO | 📨 ข้อความทั้งหมด: 25
2025-11-11 10:20:55 | INFO | 📥 subscription ทั้งหมด: 5
2025-11-11 10:20:55 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:20:55 | INFO | 💾 ข้อความที่เก็บไว้: 20
2025-11-11 10:20:55 | INFO | ================================
2025-11-11 10:20:56 | INFO | 📤 client_1_1762831226 publish ไปยัง 'home/living_room/status': standby
2025-11-11 10:20:57 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/temperature': 28.3
2025-11-11 10:20:58 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/humidity': 65.5
2025-11-11 10:20:58 | INFO | 📤 client_1_1762831226 publish ไปยัง 'home/bedroom/status': sleep
2025-11-11 10:21:00 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/temperature': 34.1
2025-11-11 10:21:00 | INFO | 📤 client_1_1762831226 publish ไปยัง 'home/living_room/status': on
2025-11-11 10:21:02 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/humidity': 73.8
2025-11-11 10:21:02 | INFO | 📤 client_1_1762831226 publish ไปยัง 'device/fan/data': speed:3
2025-11-11 10:21:03 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/temperature': 31.0
2025-11-11 10:21:04 | INFO | 📤 client_1_1762831226 publish ไปยัง 'device/fan/data': speed:2
2025-11-11 10:21:06 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/humidity': 70.9
2025-11-11 10:21:06 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/temperature': 28.6
2025-11-11 10:21:06 | INFO | 📤 client_1_1762831226 publish ไปยัง 'device/fan/data': off
2025-11-11 10:21:08 | INFO | 📤 client_1_1762831226 publish ไปยัง 'home/bedroom/status': on
2025-11-11 10:21:09 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/temperature': 28.3
2025-11-11 10:21:10 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/humidity': 58.9
